date_time,open,high,low,close,volume,timestamp
2025-01-03 09:17:00,326.25,329.2,326.25,329.2,225.0,2025-01-03 09:17:00
2025-01-03 09:18:00,333.15,333.15,330.35,331.2,300.0,2025-01-03 09:18:00
2025-01-03 09:19:00,336.45,336.45,335.75,335.75,150.0,2025-01-03 09:19:00
2025-01-03 09:20:00,335.65,335.65,334.4,334.4,225.0,2025-01-03 09:20:00
2025-01-03 09:21:00,331.8,331.8,331.8,331.8,150.0,2025-01-03 09:21:00
2025-01-03 09:22:00,334.0,334.0,334.0,334.0,75.0,2025-01-03 09:22:00
2025-01-03 09:23:00,334.0,334.0,334.0,334.0,0.0,2025-01-03 09:23:00
2025-01-03 09:24:00,334.0,334.0,334.0,334.0,0.0,2025-01-03 09:24:00
2025-01-03 09:25:00,313.45,313.45,313.45,313.45,75.0,2025-01-03 09:25:00
2025-01-03 09:26:00,320.0,320.0,320.0,320.0,150.0,2025-01-03 09:26:00
2025-01-03 09:27:00,317.0,317.0,317.0,317.0,75.0,2025-01-03 09:27:00
2025-01-03 09:28:00,312.25,314.75,312.25,314.75,150.0,2025-01-03 09:28:00
2025-01-03 09:29:00,311.15,311.15,311.15,311.15,75.0,2025-01-03 09:29:00
2025-01-03 09:30:00,311.0,311.0,311.0,311.0,75.0,2025-01-03 09:30:00
2025-01-03 09:31:00,311.75,312.95,311.75,312.95,225.0,2025-01-03 09:31:00
2025-01-03 09:32:00,311.0,311.0,304.4,304.4,300.0,2025-01-03 09:32:00
2025-01-03 09:33:00,302.4,302.4,302.4,302.4,75.0,2025-01-03 09:33:00
2025-01-03 09:34:00,297.45,299.2,297.2,299.2,450.0,2025-01-03 09:34:00
2025-01-03 09:35:00,299.5,300.2,296.4,296.4,525.0,2025-01-03 09:35:00
2025-01-03 09:36:00,295.4,295.4,295.4,295.4,75.0,2025-01-03 09:36:00
2025-01-03 09:37:00,297.0,297.0,297.0,297.0,75.0,2025-01-03 09:37:00
2025-01-03 09:38:00,297.0,297.0,297.0,297.0,75.0,2025-01-03 09:38:00
2025-01-03 09:39:00,294.5,294.5,294.5,294.5,75.0,2025-01-03 09:39:00
2025-01-03 09:40:00,302.6,313.2,302.6,312.05,300.0,2025-01-03 09:40:00
2025-01-03 09:41:00,311.0,311.0,311.0,311.0,150.0,2025-01-03 09:41:00
2025-01-03 09:42:00,311.0,311.0,311.0,311.0,0.0,2025-01-03 09:42:00
2025-01-03 09:43:00,294.45,294.45,294.45,294.45,300.0,2025-01-03 09:43:00
2025-01-03 09:44:00,290.15,290.15,290.0,290.15,300.0,2025-01-03 09:44:00
2025-01-03 09:45:00,287.0,288.2,282.4,288.2,1050.0,2025-01-03 09:45:00
2025-01-03 09:46:00,289.2,295.45,289.2,293.6,1125.0,2025-01-03 09:46:00
2025-01-03 09:47:00,288.2,288.2,288.0,288.0,300.0,2025-01-03 09:47:00
2025-01-03 09:48:00,290.9,291.05,290.9,291.05,675.0,2025-01-03 09:48:00
2025-01-03 09:49:00,289.2,289.2,283.2,283.2,375.0,2025-01-03 09:49:00
2025-01-03 09:50:00,280.8,285.8,280.8,285.8,600.0,2025-01-03 09:50:00
2025-01-03 09:51:00,288.95,288.95,279.4,279.4,525.0,2025-01-03 09:51:00
2025-01-03 09:52:00,278.35,281.45,278.35,280.0,3600.0,2025-01-03 09:52:00
2025-01-03 09:53:00,277.0,278.4,274.0,276.0,2925.0,2025-01-03 09:53:00
2025-01-03 09:54:00,277.0,281.0,277.0,281.0,3150.0,2025-01-03 09:54:00
2025-01-03 09:55:00,278.8,278.8,273.0,273.0,1350.0,2025-01-03 09:55:00
2025-01-03 09:56:00,274.85,277.0,272.95,277.0,2100.0,2025-01-03 09:56:00
2025-01-03 09:57:00,280.95,282.15,272.4,272.4,1575.0,2025-01-03 09:57:00
2025-01-03 09:58:00,269.1,269.75,267.8,269.75,1800.0,2025-01-03 09:58:00
2025-01-03 09:59:00,272.4,272.4,269.6,270.05,1200.0,2025-01-03 09:59:00
2025-01-03 10:00:00,268.0,276.45,268.0,276.45,450.0,2025-01-03 10:00:00
2025-01-03 10:01:00,274.6,283.1,274.1,283.1,1875.0,2025-01-03 10:01:00
2025-01-03 10:02:00,286.95,287.75,284.75,285.6,675.0,2025-01-03 10:02:00
2025-01-03 10:03:00,286.0,298.25,286.0,293.2,1500.0,2025-01-03 10:03:00
2025-01-03 10:04:00,292.95,292.95,292.5,292.5,150.0,2025-01-03 10:04:00
2025-01-03 10:05:00,292.55,292.55,290.55,290.55,375.0,2025-01-03 10:05:00
2025-01-03 10:06:00,301.35,301.35,297.6,297.6,150.0,2025-01-03 10:06:00
2025-01-03 10:07:00,286.95,287.2,284.0,285.6,375.0,2025-01-03 10:07:00
2025-01-03 10:08:00,273.1,276.9,272.25,274.8,1650.0,2025-01-03 10:08:00
2025-01-03 10:09:00,270.0,271.8,269.4,270.0,1050.0,2025-01-03 10:09:00
2025-01-03 10:10:00,265.2,266.4,265.0,266.4,750.0,2025-01-03 10:10:00
2025-01-03 10:11:00,265.2,271.8,265.0,267.75,1050.0,2025-01-03 10:11:00
2025-01-03 10:12:00,265.8,265.9,258.2,260.35,2550.0,2025-01-03 10:12:00
2025-01-03 10:13:00,258.2,260.75,250.5,253.95,2100.0,2025-01-03 10:13:00
2025-01-03 10:14:00,254.15,257.75,254.15,257.65,825.0,2025-01-03 10:14:00
2025-01-03 10:15:00,254.6,254.6,253.75,254.15,825.0,2025-01-03 10:15:00
2025-01-03 10:16:00,258.2,258.2,258.1,258.1,375.0,2025-01-03 10:16:00
2025-01-03 10:17:00,262.7,262.7,259.1,259.1,375.0,2025-01-03 10:17:00
2025-01-03 10:18:00,265.25,266.2,265.1,265.1,450.0,2025-01-03 10:18:00
2025-01-03 10:19:00,261.6,261.6,257.4,257.55,675.0,2025-01-03 10:19:00
2025-01-03 10:20:00,258.65,268.6,258.55,266.8,975.0,2025-01-03 10:20:00
2025-01-03 10:21:00,264.9,271.4,264.9,271.4,1275.0,2025-01-03 10:21:00
